ID,Formacao,Experiencia,Conhecimento_Refatoracao,Conhecimento_Java,Genero,FaixaEtaria,AreaAtuacao,Regiao
P1,Mestrado,6+ anos,Nenhum,Razoável,Masculino,35-44,Estudante,Sudeste
P2,Graduação,1-2 anos,Razoável,Básico,Feminino,35-44,Estudante,Nordeste
P3,Graduação,1-2 anos,Avançado,Razoável,Feminino,<25,Estudante,Nordeste
P4,Mestrado,3-5 anos,Básico,Básico,Masculino,<25,Indústria,Sudeste
P5,Mestrado,6+ anos,Nenhum,Básico,Masculino,<25,Indústria,Sudeste
P6,Graduação,6+ anos,Razoável,Razoável,Masculino,25-34,Estudante,Sudeste
P7,Especialização,1-2 anos,Avançado,Razoável,Masculino,35-44,Indústria,Sul
P8,Mestrado,3-5 anos,Básico,Razoável,Feminino,35-44,Estudante,Sudeste
P9,Graduação,6+ anos,Razoável,Razoável,Masculino,<25,Estudante,Sudeste
P10,Graduação,1-2 anos,Razoável,Razoável,Feminino,25-34,Estudante,Centro-Oeste
P11,Graduação,3-5 anos,Básico,Avançado,Masculino,25-34,Indústria,Nordeste
P12,Mestrado,1-2 anos,Razoável,Razoável,Feminino,<25,Indústria,Sudeste
P13,Graduação,3-5 anos,Razoável,Básico,Feminino,<25,Estudante,Sudeste
P14,Graduação,6+ anos,Razoável,Razoável,Masculino,<25,Indústria,Norte
P15,Graduação,6+ anos,Básico,Razoável,Masculino,35-44,Indústria,Centro-Oeste
P16,Mestrado,< 1 ano,Avançado,Básico,Masculino,<25,Academia,Sudeste
P17,Graduação,3-5 anos,Razoável,Avançado,Masculino,25-34,Estudante,Nordeste
P18,Graduação,1-2 anos,Avançado,Razoável,Masculino,25-34,Academia,Nordeste
P19,Mestrado,3-5 anos,Nenhum,Razoável,Masculino,25-34,Academia,Sudeste
P20,Mestrado,3-5 anos,Básico,Básico,Masculino,45,Indústria,Sudeste
P21,Mestrado,< 1 ano,Razoável,Razoável,Masculino,45,Academia,Sudeste
P22,Especialização,1-2 anos,Nenhum,Avançado,Masculino,<25,Estudante,Sudeste
P23,Mestrado,6+ anos,Avançado,Razoável,Masculino,25-34,Indústria,Sudeste
P24,Mestrado,3-5 anos,Básico,Razoável,Masculino,<25,Indústria,Sudeste
P25,Mestrado,3-5 anos,Básico,Razoável,Masculino,<25,Estudante,Sudeste
P26,Graduação,3-5 anos,Básico,Básico,Feminino,<25,Academia,Nordeste
P27,Graduação,3-5 anos,Básico,Razoável,Masculino,25-34,Academia,Centro-Oeste
P28,Graduação,< 1 ano,Básico,Avançado,Masculino,25-34,Academia,Nordeste
P29,Graduação,3-5 anos,Básico,Razoável,Masculino,<25,Indústria,Nordeste
P30,Mestrado,6+ anos,Razoável,Nenhum,Masculino,<25,Indústria,Sudeste
P31,Graduação,1-2 anos,Básico,Básico,Masculino,35-44,Estudante,Nordeste
P32,Graduação,3-5 anos,Básico,Razoável,Masculino,<25,Estudante,Sudeste
P33,Graduação,1-2 anos,Nenhum,Avançado,Masculino,<25,Estudante,Sudeste
P34,Graduação,1-2 anos,Básico,Razoável,Feminino,25-34,Estudante,Sudeste
P35,Graduação,3-5 anos,Razoável,Básico,Feminino,45,Indústria,Sudeste
P36,Graduação,1-2 anos,Básico,Razoável,Feminino,<25,Indústria,Nordeste
P37,Graduação,3-5 anos,Razoável,Básico,Masculino,25-34,Academia,Sudeste
P38,Especialização,6+ anos,Básico,Razoável,Masculino,25-34,Academia,Sul
P39,Especialização,3-5 anos,Razoável,Básico,Masculino,<25,Academia,Sul
P40,Mestrado,3-5 anos,Nenhum,Avançado,Masculino,25-34,Academia,Sudeste
P41,Mestrado,3-5 anos,Avançado,Razoável,Masculino,25-34,Estudante,Sudeste
P42,Graduação,3-5 anos,Nenhum,Básico,Masculino,25-34,Indústria,Nordeste
P43,Graduação,3-5 anos,Básico,Avançado,Masculino,25-34,Indústria,Nordeste
P44,Graduação,< 1 ano,Razoável,Razoável,Feminino,25-34,Indústria,Centro-Oeste
P45,Especialização,3-5 anos,Nenhum,Avançado,Masculino,<25,Academia,Sudeste
P46,Graduação,6+ anos,Razoável,Nenhum,Masculino,35-44,Indústria,Nordeste
P47,Graduação,1-2 anos,Avançado,Razoável,Masculino,<25,Indústria,Sudeste
P48,Especialização,6+ anos,Avançado,Razoável,Masculino,<25,Indústria,Sul
P49,Mestrado,3-5 anos,Razoável,Razoável,Masculino,<25,Indústria,Sudeste
P50,Mestrado,3-5 anos,Avançado,Nenhum,Masculino,25-34,Academia,Sudeste
P51,Graduação,3-5 anos,Razoável,Nenhum,Feminino,25-34,Indústria,Nordeste
P52,Especialização,< 1 ano,Avançado,Razoável,Feminino,<25,Indústria,Sudeste
P53,Mestrado,6+ anos,Básico,Avançado,Feminino,25-34,Estudante,Sudeste
P54,Mestrado,6+ anos,Avançado,Razoável,Feminino,<25,Indústria,Sudeste
P55,Graduação,6+ anos,Básico,Razoável,Masculino,25-34,Indústria,Nordeste
P56,Graduação,1-2 anos,Avançado,Razoável,Feminino,<25,Indústria,Nordeste
P57,Graduação,< 1 ano,Avançado,Básico,Masculino,25-34,Academia,Centro-Oeste
P58,Mestrado,1-2 anos,Avançado,Básico,Masculino,25-34,Indústria,Sudeste
P59,Especialização,1-2 anos,Básico,Razoável,Masculino,35-44,Academia,Sul
P60,Mestrado,3-5 anos,Razoável,Avançado,Masculino,<25,Indústria,Sudeste
P61,Mestrado,3-5 anos,Nenhum,Razoável,Masculino,<25,Indústria,Sudeste
P62,Mestrado,1-2 anos,Razoável,Básico,Masculino,<25,Indústria,Sudeste
P63,Mestrado,1-2 anos,Nenhum,Avançado,Feminino,35-44,Indústria,Sudeste
P64,Mestrado,6+ anos,Nenhum,Avançado,Masculino,35-44,Academia,Sudeste
P65,Especialização,3-5 anos,Básico,Razoável,Masculino,<25,Academia,Sudeste
P66,Graduação,6+ anos,Avançado,Avançado,Masculino,25-34,Estudante,Nordeste
P67,Mestrado,< 1 ano,Básico,Avançado,Masculino,35-44,Indústria,Sudeste
P68,Graduação,3-5 anos,Razoável,Razoável,Feminino,25-34,Indústria,Nordeste
P69,Graduação,6+ anos,Razoável,Razoável,Masculino,25-34,Academia,Nordeste
P70,Mestrado,3-5 anos,Básico,Razoável,Não-binário,<25,Indústria,Sudeste
P71,Graduação,1-2 anos,Razoável,Básico,Feminino,<25,Indústria,Nordeste
P72,Especialização,3-5 anos,Razoável,Básico,Masculino,35-44,Indústria,Sul
P73,Mestrado,1-2 anos,Básico,Básico,Masculino,35-44,Indústria,Sudeste
P74,Mestrado,3-5 anos,Razoável,Básico,Feminino,25-34,Estudante,Sudeste
P75,Graduação,< 1 ano,Razoável,Razoável,Feminino,<25,Estudante,Norte
P76,Mestrado,3-5 anos,Avançado,Básico,Feminino,<25,Academia,Sudeste
P77,Mestrado,< 1 ano,Razoável,Avançado,Feminino,25-34,Indústria,Sudeste
P78,Graduação,3-5 anos,Avançado,Básico,Masculino,35-44,Indústria,Nordeste
P79,Graduação,3-5 anos,Razoável,Razoável,Masculino,35-44,Indústria,Nordeste
P80,Mestrado,1-2 anos,Razoável,Razoável,Masculino,25-34,Indústria,Sudeste
P81,Graduação,3-5 anos,Nenhum,Razoável,Feminino,25-34,Indústria,Nordeste
P82,Mestrado,< 1 ano,Razoável,Razoável,Masculino,<25,Academia,Sudeste
P83,Mestrado,3-5 anos,Avançado,Avançado,Masculino,<25,Academia,Sudeste
P84,Graduação,6+ anos,Básico,Básico,Masculino,35-44,Indústria,Centro-Oeste
P85,Especialização,3-5 anos,Nenhum,Nenhum,Masculino,25-34,Estudante,Sul
P86,Especialização,3-5 anos,Razoável,Avançado,Masculino,<25,Academia,Sudeste
P87,Graduação,1-2 anos,Básico,Avançado,Feminino,<25,Academia,Centro-Oeste
P88,Graduação,3-5 anos,Avançado,Básico,Masculino,25-34,Academia,Norte
P89,Graduação,3-5 anos,Nenhum,Razoável,Feminino,<25,Indústria,Nordeste
P90,Graduação,< 1 ano,Avançado,Básico,Masculino,<25,Indústria,Centro-Oeste
P91,Mestrado,3-5 anos,Razoável,Básico,Masculino,25-34,Indústria,Sudeste
P92,Especialização,3-5 anos,Avançado,Avançado,Feminino,25-34,Academia,Sul
P93,Graduação,3-5 anos,Razoável,Razoável,Feminino,25-34,Indústria,Centro-Oeste
P94,Mestrado,3-5 anos,Avançado,Razoável,Masculino,<25,Indústria,Sudeste
P95,Mestrado,3-5 anos,Básico,Avançado,Feminino,25-34,Indústria,Sudeste
P96,Mestrado,3-5 anos,Básico,Básico,Masculino,<25,Indústria,Sudeste
P97,Graduação,1-2 anos,Básico,Nenhum,Masculino,<25,Estudante,Nordeste
P98,Graduação,1-2 anos,Razoável,Nenhum,Masculino,25-34,Academia,Centro-Oeste
P99,Graduação,6+ anos,Básico,Razoável,Masculino,25-34,Indústria,Nordeste
P100,Graduação,1-2 anos,Básico,Avançado,Masculino,35-44,Indústria,Nordeste
P101,Mestrado,3-5 anos,Avançado,Razoável,Masculino,25-34,Indústria,Sudeste
P102,Mestrado,6+ anos,Avançado,Razoável,Masculino,25-34,Indústria,Sudeste
P103,Graduação,1-2 anos,Básico,Razoável,Masculino,<25,Indústria,Nordeste
P104,Graduação,6+ anos,Razoável,Avançado,Masculino,25-34,Indústria,Nordeste
P105,Graduação,6+ anos,Básico,Razoável,Feminino,<25,Indústria,Nordeste
P106,Mestrado,< 1 ano,Básico,Básico,Masculino,<25,Academia,Sudeste
P107,Especialização,3-5 anos,Básico,Razoável,Masculino,45,Academia,Sudeste
P108,Mestrado,3-5 anos,Básico,Básico,Feminino,25-34,Indústria,Sudeste
P109,Especialização,1-2 anos,Avançado,Básico,Masculino,35-44,Indústria,Sudeste
P110,Graduação,< 1 ano,Avançado,Razoável,Masculino,25-34,Academia,Centro-Oeste
P111,Graduação,1-2 anos,Razoável,Básico,Masculino,25-34,Indústria,Nordeste
P112,Graduação,< 1 ano,Avançado,Razoável,Masculino,25-34,Estudante,Centro-Oeste
P113,Graduação,1-2 anos,Razoável,Razoável,Feminino,25-34,Academia,Nordeste
P114,Especialização,6+ anos,Básico,Básico,Feminino,25-34,Indústria,Sudeste
P115,Graduação,6+ anos,Básico,Avançado,Masculino,<25,Indústria,Nordeste
P116,Mestrado,< 1 ano,Básico,Nenhum,Feminino,25-34,Academia,Sudeste
P117,Mestrado,1-2 anos,Básico,Razoável,Feminino,<25,Indústria,Sudeste
P118,Mestrado,6+ anos,Nenhum,Nenhum,Masculino,<25,Academia,Sudeste
P119,Graduação,3-5 anos,Razoável,Razoável,Feminino,25-34,Estudante,Norte
P120,Especialização,3-5 anos,Básico,Básico,Masculino,<25,Academia,Sul